date_key,date_id,full_date,day,month,quarter,year,is_weekend,is_holiday
346,20201211,12/11/2020,11,12,4,2020,0,0
347,20201212,12/12/2020,12,12,4,2020,1,0
348,20201213,12/13/2020,13,12,4,2020,1,0
349,20201214,12/14/2020,14,12,4,2020,0,0
350,20201215,12/15/2020,15,12,4,2020,0,0
351,20201216,12/16/2020,16,12,4,2020,0,0
352,20201217,12/17/2020,17,12,4,2020,0,0
353,20201218,12/18/2020,18,12,4,2020,0,0
354,20201219,12/19/2020,19,12,4,2020,1,0
355,20201220,12/20/2020,20,12,4,2020,1,0
356,20201221,12/21/2020,21,12,4,2020,0,0
357,20201222,12/22/2020,22,12,4,2020,0,0
358,20201223,12/23/2020,23,12,4,2020,0,0
359,20201224,12/24/2020,24,12,4,2020,0,0
360,20201225,12/25/2020,25,12,4,2020,0,1
361,20201226,12/26/2020,26,12,4,2020,1,0
362,20201227,12/27/2020,27,12,4,2020,1,0
363,20201228,12/28/2020,28,12,4,2020,0,1
364,20201229,12/29/2020,29,12,4,2020,0,0
365,20201230,12/30/2020,30,12,4,2020,0,0
366,20201231,12/31/2020,31,12,4,2020,0,0
367,20210101,1/1/2021,1,1,1,2021,0,1
368,20210102,1/2/2021,2,1,1,2021,1,0
369,20210103,1/3/2021,3,1,1,2021,1,0
370,20210104,1/4/2021,4,1,1,2021,0,0
371,20210105,1/5/2021,5,1,1,2021,0,0
372,20210106,1/6/2021,6,1,1,2021,0,0
373,20210107,1/7/2021,7,1,1,2021,0,0
374,20210108,1/8/2021,8,1,1,2021,0,0
375,20210109,1/9/2021,9,1,1,2021,1,0
376,20210110,1/10/2021,10,1,1,2021,1,0
377,20210111,1/11/2021,11,1,1,2021,0,0
378,20210112,1/12/2021,12,1,1,2021,0,0
379,20210113,1/13/2021,13,1,1,2021,0,0
380,20210114,1/14/2021,14,1,1,2021,0,0
381,20210115,1/15/2021,15,1,1,2021,0,0
382,20210116,1/16/2021,16,1,1,2021,1,0
383,20210117,1/17/2021,17,1,1,2021,1,0
384,20210118,1/18/2021,18,1,1,2021,0,0
385,20210119,1/19/2021,19,1,1,2021,0,0
386,20210120,1/20/2021,20,1,1,2021,0,0
387,20210121,1/21/2021,21,1,1,2021,0,0
388,20210122,1/22/2021,22,1,1,2021,0,0
389,20210123,1/23/2021,23,1,1,2021,1,0
390,20210124,1/24/2021,24,1,1,2021,1,0
391,20210125,1/25/2021,25,1,1,2021,0,0
392,20210126,1/26/2021,26,1,1,2021,0,0
393,20210127,1/27/2021,27,1,1,2021,0,0
394,20210128,1/28/2021,28,1,1,2021,0,0
395,20210129,1/29/2021,29,1,1,2021,0,0
396,20210130,1/30/2021,30,1,1,2021,1,0
397,20210131,1/31/2021,31,1,1,2021,1,0
398,20210201,2/1/2021,1,2,1,2021,0,0
399,20210202,2/2/2021,2,2,1,2021,0,0
400,20210203,2/3/2021,3,2,1,2021,0,0
401,20210204,2/4/2021,4,2,1,2021,0,0
402,20210205,2/5/2021,5,2,1,2021,0,0
403,20210206,2/6/2021,6,2,1,2021,1,0
404,20210207,2/7/2021,7,2,1,2021,1,0
405,20210208,2/8/2021,8,2,1,2021,0,0
406,20210209,2/9/2021,9,2,1,2021,0,0
407,20210210,2/10/2021,10,2,1,2021,0,0
408,20210211,2/11/2021,11,2,1,2021,0,0
409,20210212,2/12/2021,12,2,1,2021,0,0
410,20210213,2/13/2021,13,2,1,2021,1,0
411,20210214,2/14/2021,14,2,1,2021,1,0
412,20210215,2/15/2021,15,2,1,2021,0,0
413,20210216,2/16/2021,16,2,1,2021,0,0
414,20210217,2/17/2021,17,2,1,2021,0,0
415,20210218,2/18/2021,18,2,1,2021,0,0
416,20210219,2/19/2021,19,2,1,2021,0,0
417,20210220,2/20/2021,20,2,1,2021,1,0
418,20210221,2/21/2021,21,2,1,2021,1,0
419,20210222,2/22/2021,22,2,1,2021,0,0
420,20210223,2/23/2021,23,2,1,2021,0,0
421,20210224,2/24/2021,24,2,1,2021,0,0
422,20210225,2/25/2021,25,2,1,2021,0,0
423,20210226,2/26/2021,26,2,1,2021,0,0
424,20210227,2/27/2021,27,2,1,2021,1,0
425,20210228,2/28/2021,28,2,1,2021,1,0
426,20210301,3/1/2021,1,3,1,2021,0,0
427,20210302,3/2/2021,2,3,1,2021,0,0
428,20210303,3/3/2021,3,3,1,2021,0,0
429,20210304,3/4/2021,4,3,1,2021,0,0
430,20210305,3/5/2021,5,3,1,2021,0,0
431,20210306,3/6/2021,6,3,1,2021,1,0
432,20210307,3/7/2021,7,3,1,2021,1,0
433,20210308,3/8/2021,8,3,1,2021,0,0
434,20210309,3/9/2021,9,3,1,2021,0,0
435,20210310,3/10/2021,10,3,1,2021,0,0
436,20210311,3/11/2021,11,3,1,2021,0,0
437,20210312,3/12/2021,12,3,1,2021,0,0
438,20210313,3/13/2021,13,3,1,2021,1,0
439,20210314,3/14/2021,14,3,1,2021,1,0
440,20210315,3/15/2021,15,3,1,2021,0,0
441,20210316,3/16/2021,16,3,1,2021,0,0
442,20210317,3/17/2021,17,3,1,2021,0,0
443,20210318,3/18/2021,18,3,1,2021,0,0
444,20210319,3/19/2021,19,3,1,2021,0,0
445,20210320,3/20/2021,20,3,1,2021,1,0
446,20210321,3/21/2021,21,3,1,2021,1,0
447,20210322,3/22/2021,22,3,1,2021,0,0
448,20210323,3/23/2021,23,3,1,2021,0,0
449,20210324,3/24/2021,24,3,1,2021,0,0
450,20210325,3/25/2021,25,3,1,2021,0,0
451,20210326,3/26/2021,26,3,1,2021,0,0
452,20210327,3/27/2021,27,3,1,2021,1,0
453,20210328,3/28/2021,28,3,1,2021,1,0
454,20210329,3/29/2021,29,3,1,2021,0,0
455,20210330,3/30/2021,30,3,1,2021,0,0
456,20210331,3/31/2021,31,3,1,2021,0,0
457,20210401,4/1/2021,1,4,2,2021,0,0
458,20210402,4/2/2021,2,4,2,2021,0,1
459,20210403,4/3/2021,3,4,2,2021,1,0
460,20210404,4/4/2021,4,4,2,2021,1,0
461,20210405,4/5/2021,5,4,2,2021,0,1
462,20210406,4/6/2021,6,4,2,2021,0,0
463,20210407,4/7/2021,7,4,2,2021,0,0
464,20210408,4/8/2021,8,4,2,2021,0,0
465,20210409,4/9/2021,9,4,2,2021,0,0
466,20210410,4/10/2021,10,4,2,2021,1,0
467,20210411,4/11/2021,11,4,2,2021,1,0
468,20210412,4/12/2021,12,4,2,2021,0,0
469,20210413,4/13/2021,13,4,2,2021,0,0
470,20210414,4/14/2021,14,4,2,2021,0,0
471,20210415,4/15/2021,15,4,2,2021,0,0
472,20210416,4/16/2021,16,4,2,2021,0,0
473,20210417,4/17/2021,17,4,2,2021,1,0
474,20210418,4/18/2021,18,4,2,2021,1,0
475,20210419,4/19/2021,19,4,2,2021,0,0
476,20210420,4/20/2021,20,4,2,2021,0,0
477,20210421,4/21/2021,21,4,2,2021,0,0
478,20210422,4/22/2021,22,4,2,2021,0,0
479,20210423,4/23/2021,23,4,2,2021,0,0
480,20210424,4/24/2021,24,4,2,2021,1,0
481,20210425,4/25/2021,25,4,2,2021,1,0
